Sample,Stim,Culture,Donor,Fold exp,CAR,CD3,4_8,4_NSCM,4_E,4_CM,4_EM,4_25,4_137,4_+/+,4_+/-,4_-/+,4_-/-,8_NSCM,8_E,8_CM,8_EM,8_25,8_137,8_+/+,8_+/-,8_-/+,8_-/-
d0 PBMC,x,x,HD1,x,x,11.7,1.305764411,48.6,7.52,17.2,26.7,3.63,0.34,0.89,24.5,0.96,73.7,23.1,51.5,1.92,23.4,0.046,0.38,0.68,39.6,0.8,58.9
d0 PBMC,x,x,HD2,x,x,25.3,1.810089021,46.3,9.03,15.5,29.2,2.41,0.31,0.39,26.5,1,72.1,36.3,43.4,2.22,18.1,0.065,0.23,0.52,28,0.8,70.7
d0 PBMC,x,x,HD3,x,x,49.1,1.680232558,46,5.6,15.6,32.7,1.01,0.25,0.12,20.9,0.22,78.7,60.7,16.6,2.01,20.7,0.034,0.054,0.077,17.9,0.26,81.8
d0 PBMC,x,x,HD4,x,x,47.3,2.614457831,56.9,10,9.46,23.6,0.82,0.16,0.17,16.1,0.36,83.4,44.9,42.9,0.55,11.7,0.029,0.06,0.13,24,0.27,75.6
d0 PBMC,x,x,HD5,x,x,25.6,5.748251748,59.3,7.48,16.7,16.6,3.03,0.44,0.38,16.1,0.53,83,24,32.9,4.81,38.3,0.17,0.51,0.8,56.7,0.2,42.3
d0 PBMC,x,x,HD6,x,x,62,4.463687151,63.8,5.8,10.9,19.6,2.95,0.57,0.33,9.66,0.33,89.7,49.9,26.5,6.19,17.4,0.17,0.14,0.25,30.1,0.22,69.4
d0 PBMC,x,x,HD7,x,x,17.8,5.133333333,14.8,2.07,33.2,51.6,9.66,1.42,0.75,38.2,0.25,60.8,16.3,25.1,14.6,44.1,0.97,0.59,0.56,37.5,0.45,61.5
d0 PBMC,x,x,HD8,x,x,34.6,5.449275362,39.9,3.93,20.4,37,2.98,0.79,0.51,20.7,0.43,78.4,26.9,36.9,10.2,26,0.11,0.24,0.45,34.5,0.32,64.8
d0 PBMC,x,x,AC1,x,x,12.8,1.28342246,62.1,13.8,6.67,17.5,1.53,0.91,0.35,12.3,1.53,85.8,32.2,58.7,0.67,8.5,0.069,0.41,0.99,38.6,0.91,59.5
d0 PBMC,x,x,AC2,x,x,55.2,0.444279346,11,11.6,17.5,59.9,8.58,1.04,0.6,26.7,0.43,72.3,2.01,61,0.99,36,0.16,0.3,0.51,32.5,0.38,66.6
d0 PBMC,x,x,AC3,x,x,25.7,0.84375,7.58,22.6,11.1,58.8,9.7,2.36,1.31,64.8,0.26,33.7,3.86,83.2,0.75,12.2,0.35,0.63,1.08,20.9,0.77,77.3
d0 PBMC,x,x,AC4,x,x,25.9,3.873015873,58.2,8.51,15.4,17.9,0.63,1.58,0.63,10,0.32,89,35.7,52.1,4.27,7.93,0.3,3.66,2.44,13.4,0.3,83.8
d0 PBMC,x,x,AC5,x,x,17.9,1.599415205,39.7,10.4,4.98,44.9,1.78,0.39,0.082,35.1,0.061,64.8,23.6,41.8,3.01,31.6,0.065,0.23,0.16,24,1.14,74.7
d0 PBMC,x,x,AC6,x,x,48,1.671469741,9.45,22.6,14.4,53.6,2.87,0.11,0.15,30.8,0.41,68.6,12.7,75.4,1.25,10.7,0.14,0.047,0.14,25.7,0.46,73.7
d0 PBMC,x,x,AC7,x,x,5.16,2.056737589,46.7,7.05,25.2,21.1,0.43,0.25,0.033,7.02,0.13,92.8,15.3,70.7,2.39,11.6,0.13,0.5,0,18.5,0.24,81.2
d0 PBMC,x,x,AC8,x,x,68,1.550802139,60.6,15.7,6.1,17.6,4.13,0.086,0.16,19.7,0.18,80,70.4,25.3,0.11,4.22,0.061,0.032,0.051,10.4,0.31,89.2
d0 PBMC,x,x,AC9,x,x,34.8,0.340720222,2.14,15.4,5.03,77.5,9.17,0.46,0.53,50.9,0.15,48.4,0.33,66.9,0.097,32.7,0.075,0.055,0.14,20.2,0.14,79.5
d0 PBMC,x,x,AC10,x,x,37.9,0.61482821,37.7,9.86,15.8,36.7,1.43,0.31,0.2,16.6,0.36,82.8,33.3,46.7,1.3,18.8,0.054,0.096,0.096,11.6,0.27,88
