Sample,Stim,Culture,Donor,Fold exp,CAR,4_8,4_NSCM,4_E,4_CM,4_EM,4_25,4_137,4_+/+,4_+/-,4_-/+,4_-/-,8_NSCM,8_E,8_CM,8_EM,8_25,8_137,8_+/+,8_+/-,8_-/+,8_-/-
D1:1,0.4,D,HD1,290.57,19.7,1.987841945,3.94,51.9,9.56,34.6,88.9,0.85,37.2,10.3,35.4,17.1,7.61,82.4,2.84,7.16,73.3,2.56,4.88,0.83,83.5,10.8
D3:1,1.2,D,HD1,334.27,19.5,1.604221636,6.73,41.3,15,37,95.9,1.77,59.8,7.19,28.3,4.76,14.8,71.4,2.5,11.3,93.6,3.6,6.8,0.42,88.4,4.34
D5:1,2,D,HD1,289.59,18.1,1.566233766,6.7,30.6,16.9,45.8,96.8,3.26,67.3,5.09,25,2.61,18.9,57.9,3.53,19.6,97.3,6.39,9.62,0.33,87.6,2.5
T1:5,0,T,HD1,192.67,14.4,2.352542373,10.5,47.3,18,24.1,89.1,0.7,34.9,24.1,17.6,23.4,8.16,72.5,5.3,14.1,72.5,3.2,13.3,1.34,74.9,10.4
T1:10,0,T,HD1,133,9.97,2.430555556,15.5,38.5,23.9,22.1,86.9,0.63,31.8,29.8,14.2,24.3,9.05,69.3,5.67,16,59.7,3.69,14.2,1.62,72.6,11.6
T1:20,0,T,HD1,145.07,8.81,1.917159763,19.6,35.4,24.6,20.4,83.2,0.68,25.4,30.3,13.5,30.8,11.1,69.7,5.46,13.7,56.1,3.7,12.6,1.93,68.9,16.6
0.02,0.24,A,HD1,1.438666667,41.9,2.590909091,35.4,17.7,30.6,16.3,86.8,5.97,10.1,15.1,24.9,49.9,41.5,38.6,10.1,9.79,67,9.9,7.12,3.34,60.5,29
0.05,0.6,A,HD1,18.48,29.6,2.521428571,27.8,19.5,31.8,20.9,92.6,2.03,11.7,11.6,28.6,48.1,30.8,45.3,11.9,11.9,68.7,8.58,5.91,1.58,73.9,18.6
0.1,1.2,A,HD1,123.84,20.9,2.156549521,12.3,30.5,27.9,29.3,92.4,0.79,28.1,17.4,26.1,28.4,11.5,67.6,5.82,15,75,2.88,6.95,0.75,81.6,10.7
0.15,1.8,A,HD1,169.0555556,18.7,2.360544218,6,31.4,22.7,39.9,90.4,0.69,34.3,19.8,22.7,23.3,8.66,67.7,4.58,19.1,78.3,2.24,8.94,1.03,79.7,10.4
0.2,2.4,A,HD1,212.6666667,21,2.85546875,4.14,33,18,44.9,91.2,0.75,40.6,18,23.4,18,12,63.2,5.71,19.1,83.9,2.27,12.4,1.55,77.2,8.81
0.25,3,A,HD1,263.7333333,20.6,3.245689655,3.36,28.6,17.2,50.9,90.2,0.79,44.8,19.1,21.1,15,11.3,56.2,7.13,25.3,84.8,2.29,15.6,3.16,71.2,10.1
0.3,3.6,A,HD1,298.8444444,25.4,4.539325843,5.85,26,18.7,49.4,94.9,1.17,47.9,13.6,26.9,11.6,17.7,48.7,10.5,23.2,92.3,4.77,15.9,3.49,73,7.61
D1:1,0.4,D,HD2,277.3,26.9,1.42195122,8.54,57.3,9.16,25,92.1,1.59,34.9,9.04,38.7,17.4,22.8,70,3.18,4.02,89.5,3.93,7.6,0.8,83.6,8
D3:1,1.2,D,HD2,301.49,30.5,1.444444444,16.8,45.1,15.7,22.4,98.1,5.49,51.6,4.18,38.9,5.33,33.7,54.5,4.25,7.49,98.4,14.9,12.1,0.4,84.4,3.1
