Sample,Stim,Culture,Donor,Fold exp,CAR,CD4,CCR7,CD8,CD25,tEGFR,TIM-3,PD-1,CD137,CD45RA,CD95
D1:1,0.4,D,HD1,290.57,19.7,11163,428,3389,4082,874,1487,796,115,1762,7354
D3:1,1.2,D,HD1,334.27,19.5,12566,574,3850,6850,816,2050,1298,180,1531,7611
D5:1,2,D,HD1,289.59,18.1,13808,629,4285,8661,729,2421,1626,326,1266,7970
T1:5,0,T,HD1,192.67,14.4,14739,718,3926,4392,680,1266,1025,87.2,1627,8727
T1:10,0,T,HD1,133,9.97,16460,963,4196,3819,451,1151,1056,95.9,1495,9166
T1:20,0,T,HD1,145.07,8.81,15020,994,4527,3510,407,1053,884,126,1693,8698
0.02,0.24,A,HD1,1.438666667,41.9,16622,1998,3938,9404,4437,951,548,457,2701,15895
0.05,0.6,A,HD1,18.48,29.6,18156,1659,4792,7133,1658,1034,477,282,1744,12833
0.1,1.2,A,HD1,123.84,20.9,17336,1020,4914,5422,930,1281,750,82.7,1381,10172
0.15,1.8,A,HD1,169.0555556,18.7,16064,740,3942,5085,858,1259,912,66.6,1154,8669
0.2,2.4,A,HD1,212.6666667,21,15820,623,3203,5601,1015,1328,1077,66.5,1058,8368
0.25,3,A,HD1,263.7333333,20.6,15514,591,2689,5337,950,1299,1269,59,854,8080
0.3,3.6,A,HD1,298.8444444,25.4,14910,673,1980,6863,1261,1484,1393,101,757,7466
D1:1,0.4,D,HD2,277.3,26.9,10953,571,4189,5577,1398,1660,684,150,2311,7267
D3:1,1.2,D,HD2,301.49,30.5,12184,844,4190,9430,1842,2369,1089,571,1936,7993
D5:1,2,D,HD2,259.6,34.5,12917,883,4447,11930,2241,2642,1328,1075,1812,8287
T1:5,0,T,HD2,274.94,12.8,10197,446,3987,2628,554,1098,554,38,1911,6009
T1:10,0,T,HD2,194.7,12.5,10880,515,4185,2804,555,1143,577,42,2007,6733
T1:20,0,T,HD2,255.47,11.5,11640,751,5325,2956,550,1252,668,65.3,2473,8291
0.02,0.24,A,HD2,3.6875,30.4,14077,2002,7434,5638,2523,981,553,484,3496,15043
0.05,0.6,A,HD2,45.961,26,12944,1286,6409,4687,1624,1169,525,225,3001,11714
0.1,1.2,A,HD2,267.86,22.9,11259,785,5267,4471,1020,1490,642,67.4,2975,8460
0.15,1.8,A,HD2,273.76,22.8,11534,800,4268,4637,1040,1489,759,74.2,2369,7736
0.2,2.4,A,HD2,294.41,23.3,12155,766,3558,4900,1011,1476,981,80.5,2162,7331
0.25,3,A,HD2,279.07,22.2,12217,704,3020,5181,941,1529,1223,95.5,1760,7040
0.3,3.6,A,HD2,286.74,24.1,13678,688,2563,6770,1095,1597,1476,151,1578,6930
D1:1,0.4,D,HD3,263.73,32,8516,597,4541,5658,1830,1335,483,126,2582,7128
D3:1,1.2,D,HD3,290.28,34.8,10806,909,4528,9246,1816,2005,943,419,2228,7363
D5:1,2,D,HD3,248.39,37.1,10829,860,4549,11082,2053,2118,1130,870,2085,7148
T1:5,0,T,HD3,190.57,15.5,9488,673,5441,2635,665,1260,765,31.3,3095,7291
T1:10,0,T,HD3,99.71,14.7,9134,776,6542,2408,624,1254,606,41.1,3336,8357
T1:20,0,T,HD3,146.32,11.9,8652,1040,7737,1982,489,1166,575,41.6,3509,9300
0.02,0.24,A,HD3,2.7258,27.3,11996,1448,6552,6348,2603,1007,740,485,3305,12344
0.05,0.6,A,HD3,99.12,27.6,8603,704,4500,4615,1810,1156,641,161,2289,7982
